step,time,x_ego,v_ego,x_front,v_front,lane_front,x_cut_in,v_cut_in,lane_cut_in,front_type,front_id,distance_front,v_front_eff,gap_to_v1,gap_to_v2,safe_distance,soft_distance,hard_distance,soft_barrier_distance,hard_barrier_distance,target_gap,gap_error_to_target,gap_excess,soft_violation,hard_violation,front_accel_est,desired_closing_speed,closing_speed,a_ref,too_far,cut_in_happened,cut_in_active,cut_in_this_step,cut_in_left_this_step,cut_in_time,cut_in_leave_time,front_event_type,front_event_timer,cut_in_event_type,cut_in_event_timer,collision,safety_violation,reached_target,a_cmd,a_ego,prev_a_ego,delta_a_ego,a_front,a_cut_in,reward,a_nom,a_ppo_before_cbf,a_cbf_cmd,cbf_correction,abs_cbf_correction,use_cbf,method,scenario
1,0.1,1.96784488259907,19.6784488259907,33.91065168521486,17.074067507932718,0,12.822299020134654,17.756475674978596,1,front,1,31.942806802615788,17.074067507932718,31.942806802615788,10.854454137535583,19.4114506136524,19.4114506136524,12.970962143543131,19.4114506136524,12.970962143543131,20.9114506136524,11.03135618896339,11.03135618896339,0.0,0.0,3.0,0.24907026747463523,2.604381318057982,-0.03152767756601298,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.4144322872161865,0.10360807180404663,0.0,0.10360807180404663,0.7361000866333877,0.22696220893031938,-2.3583353486810235,0.4144322872161865,0.4144322872161865,0.4144322872161865,0.0,0.0,True,PPO + CBF,normal
2,0.2,3.937520726231842,19.69675843632772,35.6286873670704,17.18035681855541,0,14.601167645971735,17.788686258370806,1,front,1,31.691166640838556,17.18035681855541,31.691166640838556,10.663646919739893,19.33445667956894,19.33445667956894,12.90698674693255,19.33445667956894,12.90698674693255,20.83445667956894,10.856709961269615,10.856709961269615,0.0,0.0,1.0628931062269231,0.2403868281514792,2.51640161777231,-0.4849238548377286,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.4215601980686188,0.18309610337018967,0.10360807180404663,0.07948803156614304,1.0628931062269058,0.3221058339221042,-2.4299070233202364,0.4215601980686188,0.4215601980686188,0.4215601980686188,0.0,0.0,True,PPO + CBF,normal
3,0.30000000000000004,5.909645393558754,19.721246673269118,37.35363632255831,17.249489554879123,0,16.389569514013992,17.88401868042256,1,front,1,31.443990928999554,17.249489554879123,31.443990928999554,10.479924120455237,19.304505122351465,19.304505122351465,12.879842030356185,19.304505122351465,12.879842030356185,20.804505122351465,10.63948580664809,10.63948580664809,0.0,0.0,0.6913273632371286,0.22979921654142493,2.471757118389995,-0.5684633553397519,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.4302411675453186,0.2448823694139719,0.18309610337018967,0.061786266043782234,0.691327363237124,0.9533242205175414,-2.423589211823485,0.4302411675453186,0.4302411675453186,0.4302411675453186,0.0,0.0,True,PPO + CBF,normal
4,0.4,7.884687673187782,19.750422796290287,39.08991673970593,17.362804171476192,0,18.18071958390791,17.911500698939168,1,front,1,31.205229066518143,17.362804171476192,31.205229066518143,10.296031910720126,19.237872302588265,19.237872302588265,12.822742878552877,19.237872302588265,12.822742878552877,20.737872302588265,10.467356763929878,10.467356763929878,0.0,0.0,1.1331461659706932,0.22157711023882204,2.3876186248140954,-0.4285798290581282,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.4323978126049042,0.29176123021170497,0.2448823694139719,0.04687886079773307,1.1331461659707092,0.27482018516608164,-2.289664066310954,0.4323978126049042,0.4323978126049042,0.4323978126049042,0.0,0.0,True,PPO + CBF,normal
5,0.5,9.863014653037496,19.783269798497123,40.83183121163933,17.41914471933405,0,19.97145282220273,17.90733238294818,1,front,1,30.968816558601837,17.41914471933405,30.968816558601837,10.108438169165233,19.234086958261347,19.234086958261347,12.815444492804453,19.234086958261347,12.815444492804453,20.734086958261347,10.23472960034049,10.23472960034049,0.0,0.0,0.5634054785785736,0.21070057697851208,2.364125079163074,-0.5717345923290459,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.4385963976383209,0.32847002206835896,0.29176123021170497,0.03670879185665399,0.5634054785785665,-0.04168315990987853,-2.3151495901781427,0.4385963976383209,0.4385963976383209,0.4385963976383209,0.0,0.0,True,PPO + CBF,normal
6,0.6000000000000001,11.844896711472549,19.818820584350533,42.587461292812264,17.556300811729297,0,21.763398335651456,17.919455134487286,1,front,1,30.742564581339714,17.556300811729297,30.742564581339714,9.918501624178907,19.153812123231557,19.153812123231557,12.746603022619675,19.153812123231557,12.746603022619675,20.653812123231557,10.088752458108157,10.088752458108157,0.0,0.0,1.3715609239524795,0.20401355311191768,2.2625197726212356,-0.33099687519309884,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.43662136793136597,0.3555078585341107,0.32847002206835896,0.027037836465751752,1.3715609239524802,0.1212275153910769,-2.1150526583016216,0.43662136793136597,0.43662136793136597,0.43662136793136597,0.0,0.0,True,PPO + CBF,normal
7,0.7000000000000001,13.830554784115945,19.856580726433958,44.3554082126671,17.679469198548375,0,23.564650249418534,18.01251913767077,1,front,1,30.524853428551154,17.679469198548375,30.524853428551154,9.73409546530259,19.09105996374596,19.09105996374596,12.69149247656035,19.09105996374596,12.69149247656035,20.59105996374596,9.933793464805195,9.933793464805195,0.0,0.0,1.2316838681907782,0.1986758692961039,2.1771115278855824,-0.5376730087259474,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.4438821077346802,0.3776014208342531,0.3555078585341107,0.022093562300142366,1.2316838681907842,0.930640031834836,-2.1881233409799785,0.4438821077346802,0.4438821077346802,0.4438821077346802,0.0,0.0,True,PPO + CBF,normal
8,0.8,15.820167259384563,19.89612475268618,46.126867538159345,17.71459325492247,0,25.364735972077668,18.000857226591332,1,front,1,30.306700278774784,17.71459325492247,30.306700278774784,9.544568712693104,19.11920634937542,19.11920634937542,12.708868861651132,19.11920634937542,12.708868861651132,20.61920634937542,9.687493929399363,9.687493929399363,0.0,0.0,0.35124056374094437,0.19374987858798726,2.181531497763711,-0.7630978650115424,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.44895678758621216,0.39544026252224285,0.3776014208342531,0.01783884168798977,0.35124056374095103,-0.11661911079437243,-2.317636614779696,0.44895678758621216,0.44895678758621216,0.44895678758621216,0.0,0.0,True,PPO + CBF,normal
9,0.9,17.81385204432576,19.93684784941197,47.90230925559769,17.754417174383487,0,27.1672142011938,18.024782291161344,1,front,1,30.088457211271933,17.754417174383487,30.088457211271933,9.353362156868041,19.144539384675664,19.144539384675664,12.723841287316974,19.144539384675664,12.723841287316974,20.644539384675664,9.44391782659627,9.44391782659627,0.0,0.0,0.3982391946101771,0.1888783565319254,2.182430675028481,-0.7550411144512226,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.44260308146476746,0.407230967257874,0.39544026252224285,0.011790704735631152,0.39823919461018564,0.2392506457001068,-2.2604319073501618,0.44260308146476746,0.44260308146476746,0.44260308146476746,0.0,0.0,True,PPO + CBF,normal
10,1.0,19.811681811172583,19.978297668468244,49.68594216577543,17.836329101777366,0,28.975791971886178,18.085777706923764,1,front,1,29.874260354602846,17.836329101777366,29.874260354602846,9.164110160713594,19.128947167771823,19.128947167771823,12.705979037316586,19.128947167771823,12.705979037316586,20.628947167771823,9.245313186831023,9.245313186831023,0.0,0.0,0.8191192739387887,0.18490626373662047,2.1419685666908777,-0.6342943085039789,False,False,False,False,False,,,normal,0,normal,0,False,False,False,0.4362998604774475,0.4144981905627674,0.407230967257874,0.007267223304893378,0.8191192739387965,0.6099541576241923,-2.108101989866386,0.4362998604774475,0.4362998604774475,0.4362998604774475,0.0,0.0,True,PPO + CBF,normal
